"Receipt ID",Date,"Student ID","Student Name",Batch,Class,"Fee Category","Fee Detail",Amount
RCPT-20260630-5495,"2026-06-30 08:33:04",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260630-3375,"2026-06-30 23:10:19",1,"Md Ratan Ali",2021,one,Monthly,February,500
RCPT-20260630-7856,"2026-06-30 23:16:42",1,"Md Ratan Ali",2021,one,Monthly,March,70
RCPT-20260701-1321,"2026-07-01 06:25:52",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260701-2007,"2026-07-01 06:27:40",1,"Md Ratan Ali",2021,one,Monthly,January,50
RCPT-20260701-2938,"2026-07-01 06:28:48",1,"Md Ratan Ali",2021,one,Monthly,February,500
RCPT-20260701-7592,"2026-07-01 06:50:18",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260707-4157,"2026-07-07 15:02:21",1,"Md Ratan Ali",2021,one,Monthly,January,100
RCPT-20260707-2639,"2026-07-07 15:03:33",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260707-6779,"2026-07-07 15:05:07",1,"Md Ratan Ali",2021,one,Monthly,January,100
RCPT-20260707-4518,"2026-07-07 15:06:45",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260707-3494,"2026-07-07 15:16:18",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260707-9809,"2026-07-07 15:25:42",1,"Md Ratan Ali",2021,one,Monthly,January,100
RCPT-20260707-9256,"2026-07-07 15:41:42",1,"Md Ratan Ali",2021,one,Monthly,January,8
RCPT-20260707-4494,"2026-07-07 15:51:07",1,"Md Ratan Ali",2021,one,Monthly,February,6
RCPT-20260707-2184,"2026-07-07 16:17:39",1,"Md Ratan Ali",2021,one,Monthly,October,543
RCPT-20260707-9542,"2026-07-07 16:41:53",1,"Md Ratan Ali",2021,one,Monthly,January,100
RCPT-20260707-8549,"2026-07-07 16:46:42",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260707-7876,"2026-07-07 16:55:58",2,"Md Raj",2021,one,Monthly,January,100
RCPT-20260707-5993,"2026-07-07 17:01:07",1,"Md Ratan Ali",2021,one,Monthly,January,500
RCPT-20260707-3243,"2026-07-07 18:27:20",1,"Md Ratan Ali",2021,one,Monthly,January,200
RCPT-20260707-4282,"2026-07-07 18:32:57",2,"Md Raj",2021,one,Monthly,January,100
RCPT-20260707-1873,"2026-07-07 18:33:23",2,"Md Raj",2021,one,Monthly,January,5
RCPT-20260707-2668,"2026-07-07 18:50:35",2,"Md Raj",2021,one,Monthly,February,200
RCPT-20260707-6441,"2026-07-07 19:24:49",2,"Md Raj",2021,one,Monthly,February,5
RCPT-20260707-1305,"2026-07-07 19:29:15",2,"Md Raj",2021,one,Monthly,January,400
RCPT-20260707-7124,"2026-07-07 19:50:50",2,"Md Raj",2021,one,Monthly,January,5
RCPT-20260707-7164,"2026-07-07 19:52:13",2,"Md Raj",2021,one,Monthly,February,50
RCPT-20260707-7215,"2026-07-07 19:53:58",2,"Md Raj",2021,one,Monthly,February,9
RCPT-20260707-9241,"2026-07-07 19:57:28",2,"Md Raj",2021,one,Monthly,January,8
RCPT-20260707-8403,"2026-07-07 20:04:21",2,"Md Raj",2021,one,Monthly,January,50
